Parcelle,n_cep,symptomes,date,picture_name,position_cm,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,69-81,ES2/4,29/7/21,D24,"46,5",rootstock,rootstock,S,trunk_S,"8,624","1,561",,,,,,,,,"1,56",0,"181,006,494",0,"181,006,494",0,0,0,
III-5,69-81,ES2/4,29/7/21,D25,"48,5",rootstock,rootstock,S,trunk_S,"8,365","1,323",,,,,,,,,"1,32",0,"158,158,996",0,"158,158,996",0,0,0,
III-5,69-81,ES2/4,29/7/21,D26,50,rootstock,rootstock,S,trunk_S,"7,815",699,,,,,,,,,"0,70",0,"89,443,378",0,"89,443,378",0,0,0,
III-5,69-81,ES2/4,29/7/21,D27,52,rootstock,rootstock,S,trunk_S,"7,56",543,,,,,,,,,"0,54",0,"71,825,397",0,"71,825,397",0,0,0,
III-5,69-81,ES2/4,29/7/21,D28,54,rootstock,rootstock,S,trunk_S,"7,578",592,,,,,,,,,"0,59",0,"78,120,876",0,"78,120,876",0,0,0,
III-5,69-81,ES2/4,29/7/21,D29,56,rootstock,rootstock,S,trunk_S,"7,189",667,,,,,,,,,"0,67",0,"92,780,637",0,"92,780,637",0,0,0,
III-5,69-81,ES2/4,29/7/21,D30,"57,5",rootstock,rootstock,S,trunk_S,"7,052",672,,,,,,,,,"0,67",0,"95,292,116",0,"95,292,116",0,0,0,
III-5,69-81,ES2/4,29/7/21,D31,NA,rootstock,rootstock,S,trunk_S,"7,032",207,,,,,,,,,"0,21",0,"2,943,686",0,"2,943,686",0,0,0,
III-5,69-81,ES2/4,29/7/21,U1,1,arm,U_arm,S,arm_S,"6,345","3,357",629,,,,,,,,"3,99",0,"62,821,119",0,"529,078,014","82,654,402",0,0,"très legé liseré rose en bordure, tout le reste de la coupe est disfonctionnel"
III-5,69-81,ES2/4,29/7/21,U2,"3,5",arm,U_arm,S,arm_S,"8,872","4,482",266,315,,,,,,,"5,06",0,"570,671,776",0,"505,184,851","34,954,008","41,392,904",0,
