Parcelle,n_cep,symptomes,date,picture_name,cep_name,position_cm,distance_for_GU,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,69-80,AS,29/7/21,D00,69-80D,0,45.5,arm,D_arm,AS,arm_AS,7.61,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,La position ne figure pas
III-5,69-80,AS,29/7/21,D01,69-80D,1,44.5,arm,D_arm,AS,arm_AS,10.58,,,,,"2,423",,,,,0,"2,423",0,"229,017,013",0,0,0,0,
III-5,69-80,AS,29/7/21,D02,69-80D,3,42.5,arm,D_arm,AS,arm_AS,"10,774",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D03,69-80D,4.5,41,arm,D_arm,AS,arm_AS,"8,001",0.412,0.203,,,,,,,,0.615,0,"76,865,392",0,"51,493,563","26,675,427",0,0,
III-5,69-80,AS,29/7/21,D04,69-80D,6.5,39,arm,D_arm,AS,arm_AS,"7,359",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D05,69-80D,8.5,37,arm,D_arm,AS,arm_AS,"6,548",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D06,69-80D,10.5,35,arm,D_arm,AS,arm_AS,"7,287",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D07,69-80D,13,32.5,transition,transition,transition,transition,"8,879",,,,,589,,,,,0,589,0,"66,336,299",0,0,0,0,
III-5,69-80,AS,29/7/21,D08,69-80D,14,31.5,transition,transition,transition,transition,"9,952",,,,,0.33,,,,,0,0.33,0,"33,159,164",0,0,0,0,
III-5,69-80,AS,29/7/21,D09,69-80D,16.5,29,trunk,trunk,AS,trunk_AS,"13,507",,,,,0.6,,,,,0,0.6,0,"44,421,411",0,0,0,0,
III-5,69-80,AS,29/7/21,D10,69-80D,18.5,27,trunk,trunk,AS,trunk_AS,"11,468",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D11,69-80D,20.5,25,trunk,trunk,AS,trunk_AS,9.64,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D12,69-80D,22.5,23,trunk,trunk,AS,trunk_AS,"10,088",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D13,69-80D,24.5,21,trunk,trunk,AS,trunk_AS,"10,905",,,,,0.25,,,,,0,0.25,0,"22,925,264",0,0,0,0,
III-5,69-80,AS,29/7/21,D14,69-80D,26,19.5,trunk,trunk,AS,trunk_AS,9.41,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D15,69-80D,28.5,17,trunk,trunk,AS,trunk_AS,"10,304",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D16,69-80D,30,15.5,trunk,trunk,AS,trunk_AS,"12,611",,,,,561,"1,365",,,,0,"1,926",0,"152,723,813",0,0,0,0,
III-5,69-80,AS,29/7/21,D17,69-80D,32,13.5,trunk,trunk,AS,trunk_AS,"9,754",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D18,69-80D,33.5,12,trunk,trunk,AS,trunk_AS,10.15,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D19,69-80D,35.5,10,trunk,trunk,AS,trunk_AS,"10,042",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D20,69-80D,37,8.5,trunk,trunk,AS,trunk_AS,"9,587",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D21,69-80D,38.5,7,trunk,trunk,AS,trunk_AS,"10,149",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D22,69-80D,40,5.5,trunk,trunk,AS,trunk_AS,"11,964",,,,,1.43,563,,,,0,"1,993",0,"166,583,083",0,0,0,0,
III-5,69-80,AS,29/7/21,D23,69-80D,41.5,4,trunk,trunk,AS,trunk_AS,21.63,0.255,,,,,,,,,0.255,0,"11,789,182",0,"11,789,182",0,0,0,
III-5,69-80,AS,29/7/21,D24,69-80D,42,3.5,trunk,trunk,AS,trunk_AS,13.3,0.261,,,,652,,,,,0.261,652,"20,635,674","49,022,556","20,635,674",0,0,0,
III-5,69-80,AS,29/7/21,D25,69-80D,43.5,2,trunk,trunk,AS,trunk_AS,19.55,0.217,0.188,,,"2,967",0.29,0.3,,,0.405,"3,557","25,323,579","181,943,734","13,568,436","24,704,336",0,0,
III-5,69-80,AS,29/7/21,D26,69-80D,45.5,0,GU,GU,AS,trunk_AS,"17,754",0.401,0.105,0.188,0.17,"2,292",,,,,0.864,"2,292","55,878,929","129,097,668","25,934,549","13,797,635","24,704,336","22,339,028",
III-5,69-80,AS,29/7/21,D27,69-80D,48,-2.5,GU,GU,AS,trunk_AS,"16,263",,,,,,,,,,0,0,0,0,0,0,0,0,zone rose achuré
III-5,69-80,AS,29/7/21,D28,69-80D,50.5,-5,rootstock,rootstock,AS,trunk_AS,"11,299",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D29,69-80D,52,-6.5,rootstock,rootstock,AS,trunk_AS,9.95,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D30,69-80D,54,-8.5,rootstock,rootstock,AS,trunk_AS,"9,116",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D31,69-80D,55.5,-10,rootstock,rootstock,AS,trunk_AS,"9,666",0.88,,,,"1,163",,,,,0.88,"1,163","10,349,288","120,318,643","10,349,288",0,0,0,
III-5,69-80,AS,29/7/21,D32,69-80D,56,-10.5,rootstock,rootstock,AS,trunk_AS,"8,973",,,,,153,,,,,0,153,0,"17,051,153",0,0,0,0,
III-5,69-80,AS,29/7/21,D33,69-80D,59.5,-14,rootstock,rootstock,AS,trunk_AS,"9,589",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,U01,69-80U,1,36.5,arm,U_arm,AS,trunk_AS,"10,129",0.596,,,,893,,,,,0.596,893,"645,301","88,162,701","645,301",0,0,0,
III-5,69-80,AS,29/7/21,U02,69-80U,2,35.5,arm,U_arm,AS,trunk_AS,"12,345",,,,,"1,527",217,,,,0,"1,744",0,"14,127,177",0,0,0,0,
III-5,69-80,AS,29/7/21,U03,69-80U,3.5,34,arm,U_arm,AS,trunk_AS,"9,499",0.426,0.148,,,,,,,,0.574,0,"60,427,413",0,"44,846,826","19,448,095",0,0,DEUX COUPES N'ONT PAS ÉTÉ ANALYSEES CAR LA POSITION EN CM NE FIGURAIT PAS
III-5,69-80,AS,29/7/21,D07,69-80U,5,32.5,transition,transition,transition,transition,"8,879",,,,,589,,,,,0,589,0,"66,336,299",0,0,0,0,
III-5,69-80,AS,29/7/21,D08,69-80U,6,31.5,transition,transition,transition,transition,"9,952",,,,,0.33,,,,,0,0.33,0,"33,159,164",0,0,0,0,
III-5,69-80,AS,29/7/21,D09,69-80U,8.5,29,trunk,trunk,AS,trunk_AS,"13,507",,,,,0.6,,,,,0,0.6,0,"44,421,411",0,0,0,0,
III-5,69-80,AS,29/7/21,D10,69-80U,10.5,27,trunk,trunk,AS,trunk_AS,"11,468",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D11,69-80U,12.5,25,trunk,trunk,AS,trunk_AS,9.64,,,,,,,,,,0,0,0,0,0,0,0,0,liseré rose le long de la zone disfonctionnel (bois de l'année)
III-5,69-80,AS,29/7/21,D12,69-80U,14.5,23,trunk,trunk,AS,trunk_AS,"10,088",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D13,69-80U,16.5,21,trunk,trunk,AS,trunk_AS,"10,905",,,,,0.25,,,,,0,0.25,0,"22,925,264",0,0,0,0,
III-5,69-80,AS,29/7/21,D14,69-80U,18,19.5,trunk,trunk,AS,trunk_AS,9.41,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D15,69-80U,20.5,17,trunk,trunk,AS,trunk_AS,"10,304",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D16,69-80U,22,15.5,trunk,trunk,AS,trunk_AS,"12,611",,,,,561,"1,365",,,,0,"1,926",0,"152,723,813",0,0,0,0,Coupe n'est pas entière. Le perimètre total n'a donc pas été pris en compte de manière précise
III-5,69-80,AS,29/7/21,D17,69-80U,24,13.5,trunk,trunk,AS,trunk_AS,"9,754",,,,,,,,,,0,0,0,0,0,0,0,0,"La coupe n'est pas entière. Le perimètre de la partie coupé n'a pas été pris en compte. Cependant, sur la coupe inférieure cette partie semble disfonctionnel."
III-5,69-80,AS,29/7/21,D18,69-80U,25.5,12,trunk,trunk,AS,trunk_AS,10.15,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D19,69-80U,27.5,10,trunk,trunk,AS,trunk_AS,"10,042",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D20,69-80U,29,8.5,trunk,trunk,AS,trunk_AS,"9,587",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D21,69-80U,30.5,7,trunk,trunk,AS,trunk_AS,"10,149",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D22,69-80U,32,5.5,trunk,trunk,AS,trunk_AS,"11,964",,,,,1.43,563,,,,0,"1,993",0,"166,583,083",0,0,0,0,
III-5,69-80,AS,29/7/21,D23,69-80U,33.5,4,trunk,trunk,AS,trunk_AS,21.63,0.255,,,,,,,,,0.255,0,"11,789,182",0,"11,789,182",0,0,0,
III-5,69-80,AS,29/7/21,D24,69-80U,34,3.5,trunk,trunk,AS,trunk_AS,13.3,0.261,,,,652,,,,,0.261,652,"20,635,674","49,022,556","20,635,674",0,0,0,
III-5,69-80,AS,29/7/21,D25,69-80U,35.5,2,trunk,trunk,AS,trunk_AS,19.55,0.217,0.188,,,"2,967",0.29,0.3,,,0.405,"3,557","25,323,579","181,943,734","13,568,436","24,704,336",0,0,
III-5,69-80,AS,29/7/21,D26,69-80U,37.5,0,GU,GU,AS,trunk_AS,"17,754",0.401,0.105,0.188,0.17,"2,292",,,,,0.864,"2,292","55,878,929","129,097,668","25,934,549","13,797,635","24,704,336","22,339,028",
III-5,69-80,AS,29/7/21,D27,69-80U,40,-2.5,GU,GU,AS,trunk_AS,"16,263",,,,,,,,,,0,0,0,0,0,0,0,0,une partie de la zone disfonctionnel possède un fin liseré rose
III-5,69-80,AS,29/7/21,D28,69-80U,42.5,-5,rootstock,rootstock,AS,trunk_AS,"11,299",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D29,69-80U,44,-6.5,rootstock,rootstock,AS,trunk_AS,9.95,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D30,69-80U,46,-8.5,rootstock,rootstock,AS,trunk_AS,"9,116",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D31,69-80U,47.5,-10,rootstock,rootstock,AS,trunk_AS,"9,666",0.88,,,,"1,163",,,,,0.88,"1,163","10,349,288","120,318,643","10,349,288",0,0,0,
III-5,69-80,AS,29/7/21,D32,69-80U,49,-11.5,rootstock,rootstock,AS,trunk_AS,"8,973",,,,,153,,,,,0,153,0,"17,051,153",0,0,0,0,
III-5,69-80,AS,29/7/21,D33,69-80U,51.5,-14,rootstock,rootstock,AS,trunk_AS,"9,589",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-81,ES2/4,29/7/21,D00,69-81D,0,32,arm,D_arm,S,arm_S,"9,455","1,066",,,,,,,,,1066,0,"11,274,458",0,"11,274,458",0,0,0,
III-5,69-81,ES2/4,29/7/21,D01,69-81D,1,31,arm,D_arm,S,arm_S,"11,208",0.993,0.663,0.274,,,,,,,1.93,0,"17,219,843",0,"8,859,743","87,122,208","36,005,256",0,
III-5,69-81,ES2/4,29/7/21,D02,69-81D,4,28,arm,D_arm,S,arm_S,"10,004","2,341",,,,522,277,,,,2341,799,"254,318,305","79,868,053","254,318,305",0,0,0,
III-5,69-81,ES2/4,29/7/21,D03,69-81D,5.5,26.5,arm,D_arm,S,arm_S,"8,567","1,642",,,,1.58,,,,,1642,1.58,"235,007,872","184,428,621","235,007,872",0,0,0,
III-5,69-81,ES2/4,29/7/21,D04,69-81D,7.5,24.5,arm,D_arm,S,arm_S,"11,187","1,223",,,,1.39,"1,631",,,,1223,"3,021","149,767,328","270,045,589","149,767,328",0,0,0,
III-5,69-81,ES2/4,29/7/21,D05,69-81D,9.5,22.5,arm,D_arm,S,arm_S,"8,157","1,424",,,,,,,,,1424,0,"174,573,986",0,"174,573,986",0,0,0,
III-5,69-81,ES2/4,29/7/21,D06,69-81D,11.5,20.5,arm,D_arm,S,arm_S,7.15,"1,335",,,,,,,,,1335,0,"186,713,287",0,"186,713,287",0,0,0,
III-5,69-81,ES2/4,29/7/21,D07,69-81D,13.5,18.5,transition,transition,transition,transition,7.91,"1,821",,,,,,,,,1821,0,"230,214,918",0,"230,214,918",0,0,0,"très legé liseré rose en bordure, tout le reste de la coupe est disfonctionnel"
III-5,69-81,ES2/4,29/7/21,D08,69-81D,15.5,16.5,transition,transition,transition,transition,"7,363","1,423",0.724,,,,,,,,1423.724,0,"291,593,101",0,"193,263,615","95,137,976",0,0,
III-5,69-81,ES2/4,29/7/21,D09,69-81D,17.5,14.5,trunk,trunk,S,trunk_S,"8,052","3,754",,,,,,,,,3754,0,"466,219,573",0,"466,219,573",0,0,0,
III-5,69-81,ES2/4,29/7/21,D10,69-81D,19,13,trunk,trunk,S,trunk_S,"8,137","3,725",,,,,,,,,3725,0,"457,785,425",0,"457,785,425",0,0,0,coloration rose  très peu large et intense
III-5,69-81,ES2/4,29/7/21,D11,69-81D,21.5,10.5,trunk,trunk,S,trunk_S,"8,242","3,336",,,,,,,,,3336,0,"404,756,127",0,"404,756,127",0,0,0,
III-5,69-81,ES2/4,29/7/21,D12,69-81D,23.5,8.5,trunk,trunk,S,trunk_S,8.93,"3,187",,,,,,,,,3187,0,"356,886,898",0,"356,886,898",0,0,0,la troisième zone est peut etre une nécrose
III-5,69-81,ES2/4,29/7/21,D13,69-81D,25.5,6.5,trunk,trunk,S,trunk_S,"8,307","3,485",,,,,,,,,3485,0,"419,525,701",0,"419,525,701",0,0,0,
III-5,69-81,ES2/4,29/7/21,D14,69-81D,27.5,4.5,trunk,trunk,S,trunk_S,"9,497","4,077",,,,352,,,,,4077,352,"445,817,387","37,064,336","445,817,387",0,0,0,
III-5,69-81,ES2/4,29/7/21,D15,69-81D,29.5,2.5,trunk,trunk,S,trunk_S,"9,172","4,215",,,,,,,,,4215,0,"459,550,807",0,"459,550,807",0,0,0,
III-5,69-81,ES2/4,29/7/21,D16,69-81D,32,0,GU,GU,S,trunk_S,"10,439","5,269",,,,,,,,,5269,0,"504,741,834",0,"504,741,834",0,0,0,
III-5,69-81,ES2/4,29/7/21,D17,69-81D,34,-2,GU,GU,S,trunk_S,"17,292","8,237",,,,"3,647",,,,,8237,"3,647","603,664,346","210,906,778","603,664,346",0,0,0,
III-5,69-81,ES2/4,29/7/21,D18,69-81D,35.5,-3.5,GU,GU,S,trunk_S,"17,052","10,041",,,,535,,,,,10041,535,"607,919,114","31,374,619","607,919,114",0,0,0,
III-5,69-81,ES2/4,29/7/21,D19,69-81D,37.5,-5.5,rootstock,rootstock,S,trunk_S,"14,403","5,690",,,,959,,,,,5690,959,"423,237,132","66,583,351","423,237,132",0,0,0,
III-5,69-81,ES2/4,29/7/21,D20,69-81D,39,-7,rootstock,rootstock,S,trunk_S,"9,555","3,868",,,,,,,,,3868,0,"404,814,233",0,"404,814,233",0,0,0,deux bras entiers sont présent sur la coupe. Seul le bras principale a été mesuré.
III-5,69-81,ES2/4,29/7/21,D21,69-81D,41,-9,rootstock,rootstock,S,trunk_S,"8,411","2,633",,,,,,,,,2633,0,"313,042,444",0,"313,042,444",0,0,0,la coupe se trouve à l ajonction des deux bras. Les deux bras on été mesuré comme un seul. Il est possible de les diférencier
III-5,69-81,ES2/4,29/7/21,D22,69-81D,43,-11,rootstock,rootstock,S,trunk_S,"8,148","1,782",,,,,,,,,1782,0,"218,703,976",0,"218,703,976",0,0,0,
III-5,69-81,ES2/4,29/7/21,D23,69-81D,44.5,-12.5,rootstock,rootstock,S,trunk_S,"7,984","1,538",,,,,,,,,1538,0,"192,635,271",0,"192,635,271",0,0,0,
III-5,69-81,ES2/4,29/7/21,D24,69-81D,46.5,-14.5,rootstock,rootstock,S,trunk_S,"8,624","1,561",,,,,,,,,1561,0,"181,006,494",0,"181,006,494",0,0,0,
III-5,69-81,ES2/4,29/7/21,D25,69-81D,48.5,-16.5,rootstock,rootstock,S,trunk_S,"8,365","1,323",,,,,,,,,1323,0,"158,158,996",0,"158,158,996",0,0,0,
III-5,69-81,ES2/4,29/7/21,D26,69-81D,50,-18,rootstock,rootstock,S,trunk_S,"7,815",0.699,,,,,,,,,0.699,0,"89,443,378",0,"89,443,378",0,0,0,
III-5,69-81,ES2/4,29/7/21,D27,69-81D,52,-20,rootstock,rootstock,S,trunk_S,7.56,0.543,,,,,,,,,0.543,0,"71,825,397",0,"71,825,397",0,0,0,
III-5,69-81,ES2/4,29/7/21,D28,69-81D,54,-22,rootstock,rootstock,S,trunk_S,"7,578",0.592,,,,,,,,,0.592,0,"78,120,876",0,"78,120,876",0,0,0,
III-5,69-81,ES2/4,29/7/21,D29,69-81D,56,-24,rootstock,rootstock,S,trunk_S,"7,189",0.667,,,,,,,,,0.667,0,"92,780,637",0,"92,780,637",0,0,0,grosse necrose
